"AA" "count" "pc"
"1" "A_Ala" 242640 2.241
"2" "C_Cys" 261691 2.417
"3" "D_Asp" 539340 4.982
"4" "E_Glu" 808638 7.47
"5" "F_Phe" 415274 3.836
"6" "G_Gly" 747817 6.908
"7" "H_His" 298317 2.756
"8" "I_Ile" 493641 4.56
"9" "K_Lys" 652600 6.029
"10" "L_Leu" 1133950 10.475
"11" "M_Met" 242640 2.241
"12" "N_Asn" 408382 3.773
"13" "P_Pro" 718655 6.639
"14" "Q_Gln" 542627 5.013
"15" "R_Arg" 641339 5.925
"16" "S_Ser" 948211 8.759
"17" "T_Thr" 609186 5.628
"18" "U_Sec" 36 0
"19" "V_Val" 678779 6.27
"20" "W_Trp" 138221 1.277
"21" "Y_Tyr" 303013 2.799
